timestamp_sec_floor,timestamp,/electrical/temp_sensors/in.inlet_temp,/electrical/temp_sensors/out.outlet_temp
1761090075,10/21/25 | 07:41:15 PM,,19.510000228881836
1761090182,10/21/25 | 07:43:02 PM,,19.3799991607666
1761090183,10/21/25 | 07:43:03 PM,,19.639999389648438
1761090184,10/21/25 | 07:43:04 PM,,19.6200008392334
1761090185,10/21/25 | 07:43:05 PM,,19.75
1761090186,10/21/25 | 07:43:06 PM,,19.65999984741211
1761090187,10/21/25 | 07:43:07 PM,,19.790000915527344
1761090188,10/21/25 | 07:43:08 PM,,19.729999542236328
1761090189,10/21/25 | 07:43:09 PM,,19.729999542236328
1761090190,10/21/25 | 07:43:10 PM,,19.6200008392334
1761090191,10/21/25 | 07:43:11 PM,,19.729999542236328
1761090192,10/21/25 | 07:43:12 PM,,19.729999542236328
1761090193,10/21/25 | 07:43:13 PM,,19.56999969482422
1761090194,10/21/25 | 07:43:14 PM,,19.68000030517578
1761090195,10/21/25 | 07:43:15 PM,,19.729999542236328
1761090196,10/21/25 | 07:43:16 PM,,19.8799991607666
1761090197,10/21/25 | 07:43:17 PM,,19.75
1761090198,10/21/25 | 07:43:18 PM,,19.700000762939453
1761090199,10/21/25 | 07:43:19 PM,,19.56999969482422
1761090200,10/21/25 | 07:43:20 PM,,19.510000228881836
1761090201,10/21/25 | 07:43:21 PM,,20.290000915527344
1761090202,10/21/25 | 07:43:22 PM,,19.440000534057617
1761090203,10/21/25 | 07:43:23 PM,,19.329999923706055
1761090204,10/21/25 | 07:43:24 PM,,19.3799991607666
1761090205,10/21/25 | 07:43:25 PM,,18.479999542236328
1761090206,10/21/25 | 07:43:26 PM,,19.139999389648438
1761090207,10/21/25 | 07:43:27 PM,,19.700000762939453
1761090208,10/21/25 | 07:43:28 PM,,19.940000534057617
1761090209,10/21/25 | 07:43:29 PM,,19.729999542236328
1761090210,10/21/25 | 07:43:30 PM,,19.489999771118164
1761090211,10/21/25 | 07:43:31 PM,,19.729999542236328
1761090212,10/21/25 | 07:43:32 PM,,20.75
1761090213,10/21/25 | 07:43:33 PM,,20.010000228881836
1761090214,10/21/25 | 07:43:34 PM,,19.790000915527344
1761090215,10/21/25 | 07:43:35 PM,,20.43000030517578
1761090216,10/21/25 | 07:43:36 PM,,20.81999969482422
1761090217,10/21/25 | 07:43:37 PM,,19.700000762939453
